Date	Price	Change %
Jan 01, 2026	6,939.03	1.37%
Dec 01, 2025	6,845.50	-0.05%
Nov 01, 2025	6,849.09	0.13%
Oct 01, 2025	6,840.20	2.27%
Sep 01, 2025	6,688.46	3.53%
Aug 01, 2025	6,460.26	1.91%
Jul 01, 2025	6,339.39	2.17%
Jun 01, 2025	6,204.95	4.96%
May 01, 2025	5,911.69	6.15%
Apr 01, 2025	5,569.06	-0.76%
Mar 01, 2025	5,611.85	-5.75%
Feb 01, 2025	5,954.50	-1.42%
Jan 01, 2025	6,040.53	2.70%
Dec 01, 2024	5,881.63	-2.50%
Nov 01, 2024	6,032.38	5.73%
Oct 01, 2024	5,705.45	-0.99%
Sep 01, 2024	5,762.48	2.02%
Aug 01, 2024	5,648.40	2.28%
Jul 01, 2024	5,522.30	1.13%
Jun 01, 2024	5,460.48	3.47%
May 01, 2024	5,277.51	4.80%
Apr 01, 2024	5,035.69	-4.16%
Mar 01, 2024	5,254.35	3.10%
Feb 01, 2024	5,096.27	5.17%
Jan 01, 2024	4,845.65	1.59%
Dec 01, 2023	4,769.83	4.42%
Nov 01, 2023	4,567.80	8.92%
Oct 01, 2023	4,193.80	-2.20%
Sep 01, 2023	4,288.05	-4.87%
Aug 01, 2023	4,507.66	-1.77%
Jul 01, 2023	4,588.96	3.11%
Jun 01, 2023	4,450.38	6.47%
May 01, 2023	4,179.83	0.25%
Apr 01, 2023	4,169.48	1.46%
Mar 01, 2023	4,109.31	3.51%
Feb 01, 2023	3,970.15	-2.61%
Jan 01, 2023	4,076.60	6.18%
Dec 01, 2022	3,839.50	-5.90%
Nov 01, 2022	4,080.11	5.38%
Oct 01, 2022	3,871.98	7.99%
Sep 01, 2022	3,585.62	-9.34%
Aug 01, 2022	3,955.00	-4.24%
Jul 01, 2022	4,130.29	9.11%
Jun 01, 2022	3,785.38	-8.39%
May 01, 2022	4,132.15	0.01%
Apr 01, 2022	4,131.93	-8.80%
Mar 01, 2022	4,530.41	3.58%
Feb 01, 2022	4,373.94	-3.14%
Jan 01, 2022	4,515.55	-5.26%
Dec 01, 2021	4,766.18	4.36%
Nov 01, 2021	4,567.00	-0.83%
Oct 01, 2021	4,605.38	6.91%
Sep 01, 2021	4,307.54	-4.76%
Aug 01, 2021	4,522.68	2.90%
Jul 01, 2021	4,395.26	2.27%
Jun 01, 2021	4,297.50	2.22%
May 01, 2021	4,204.11	0.55%
Apr 01, 2021	4,181.17	5.24%
Mar 01, 2021	3,972.89	4.24%
Feb 01, 2021	3,811.15	2.61%
Jan 01, 2021	3,714.24	-1.11%
Dec 01, 2020	3,756.07	3.71%
Nov 01, 2020	3,621.63	10.75%
Oct 01, 2020	3,269.96	-2.77%
Sep 01, 2020	3,363.00	-3.92%
Aug 01, 2020	3,500.31	7.01%
Jul 01, 2020	3,271.12	5.51%
Jun 01, 2020	3,100.29	1.84%
May 01, 2020	3,044.31	4.53%
Apr 01, 2020	2,912.43	12.68%
Mar 01, 2020	2,584.59	-12.51%
Feb 01, 2020	2,954.22	-8.41%
Jan 01, 2020	3,225.52	-0.16%
Dec 01, 2019	3,230.78	2.86%
Nov 01, 2019	3,140.98	3.40%
Oct 01, 2019	3,037.56	2.04%
Sep 01, 2019	2,976.74	1.72%
Aug 01, 2019	2,926.46	-1.81%
Jul 01, 2019	2,980.38	1.31%
Jun 01, 2019	2,941.76	6.89%
May 01, 2019	2,752.06	-6.58%
Apr 01, 2019	2,945.83	3.93%
Mar 01, 2019	2,834.40	1.79%
Feb 01, 2019	2,784.49	2.97%
Jan 01, 2019	2,704.10	7.87%
Dec 01, 2018	2,506.85	-9.18%
Nov 01, 2018	2,760.17	1.79%
Oct 01, 2018	2,711.74	-6.94%
Sep 01, 2018	2,913.98	0.43%
Aug 01, 2018	2,901.52	3.03%
Jul 01, 2018	2,816.29	3.60%
Jun 01, 2018	2,718.37	0.48%
May 01, 2018	2,705.27	2.16%
Apr 01, 2018	2,648.05	0.27%
Mar 01, 2018	2,640.87	-2.69%
Feb 01, 2018	2,713.83	-3.89%
Jan 01, 2018	2,823.81	5.62%
Dec 01, 2017	2,673.61	0.98%
Nov 01, 2017	2,647.58	2.81%
Oct 01, 2017	2,575.26	2.22%
Sep 01, 2017	2,519.36	1.93%
Aug 01, 2017	2,471.65	0.05%
Jul 01, 2017	2,470.30	1.93%
Jun 01, 2017	2,423.41	0.48%
May 01, 2017	2,411.80	1.16%
Apr 01, 2017	2,384.20	0.91%
Mar 01, 2017	2,362.72	-0.04%
Feb 01, 2017	2,363.64	3.72%
Jan 01, 2017	2,278.87	1.79%
Dec 01, 2016	2,238.83	1.82%
Nov 01, 2016	2,198.81	3.42%
Oct 01, 2016	2,126.15	-1.94%
Sep 01, 2016	2,168.27	-0.12%
Aug 01, 2016	2,170.95	-0.12%
Jul 01, 2016	2,173.60	3.56%
Jun 01, 2016	2,098.86	0.09%
May 01, 2016	2,096.96	1.53%
Apr 01, 2016	2,065.30	0.27%
Mar 01, 2016	2,059.74	6.60%
Feb 01, 2016	1,932.23	-0.41%
